Date,Location,Latitude,Longitude,Comments,Photo,Reason,MBSPrefix,MapRef
09-Apr-17,Trench Triangle,50.343088,2.803447,1500 2nd Bttn takes over Blue Line. 1st Bttn consolidates at Trench Triangle,,,,51b.A.18.c.97.80
09-Apr-17,Trench Triangle,50.341954,2.780545,1930 Bttn HQ Moved to Junction of Scischen Stellung and Albrecht Avenue,,,,51b.A.16.d.4.6
10-Apr-17,Bois de la Ville,50.358024,2.813433,2359 Move to Bois de la Ville to relieve 27 and 28th Bttn 6 Brigade,,,, 51b.b.1.c.6.4
11-Apr-17,Bois de la Ville,50.358897,2.817261,1405 Relieve 29th Bttn ,,,,51b.b.1.d.2.6
12-Apr-17,Douai Trench,50.337999,2.762044,Relieved by 7th Battalion. Return to former German Front Line,,,,51b.A.21.a.5.7
16-Apr-17,Brunehaut Farm,50.328328,2.717459,Rest and reorganization,,,,51c.F.28.b
22-Apr-17,Farbus Wood,50.35135,2.826633,Brigade Support,,,,51b.B.8.c.6.7
27-Apr-17,Maison Blanche,50.317733,2.81955,Support for 2nd Bttn during Attack on Arteux. No action required.,,,,51b.H.1.d.3.6
29-Apr-17,Mont St Eloi,50.344954,2.687707,Battalion Rest. 145 replacements received,,,,51c.F.14.a.96.65
01-May-17,Willerval,50.363786,2.854442,Move into front Line,,,,51b.B.4.b.0.7
02-May-17,Outside Frenoy,50.367573,2.869053,In position to attack the Trenches at Fresnoy,,,,44a.T.29.d.3.8
03-May-17,Fresnoy,50.368761,2.891971,"Attacked at 0345, by 0545 had reached their objective",,,,44a.U.25.a.87.02
05-May-17,Maison Blanche,50.317733,2.81955,Support for 2nd Bttn during Attack on Arteux. No action required.,,,,51b.H.1.d.3.6
07-May-17,Coupigny Huts,50.439585,2.641761,"Bttn Rest, Training and 200 reinforcements, joined 100 former wounded soldiers.",,,, 44b.Q.11.a.35.09
13-Jun-17,Winnipeg Road Trench,50.374576,2.870119,In the front line releived 4th Bttn,,,,36c.T.23.d
18-Jun-17,Paynsley Trench,50.357904,2.774228,Brigade Support,,,,51b.A.4.c
25-Jun-17,Bois Des Alleux,50.358017,2.682167,Fraser Camp. Battalion Training and recovery,,,, 51c.F.2.c.2.8
02-Jul-17,Paynsley Trench,50.357904,2.775228,Brigade Support,,,,51b.A.4.c
12-Jul-17,Vimy,50.377078,2.810238,Battalion Training,,,, 44a.T.19.a.2.3
19-Jul-17,Hallicourt,50.5154785,2.4469514,Repositioning  ,,,,
21-Jul-17,Bruay,50.489089,2.5329581,Repositioning  ,,,,
23-Jul-17,Trenches near Loos,50.451127,2.797822,Heavy Shelling. Minor casualties throughout,,,,44a.M.6.a.65.35
03-Aug-17,Barlin,50.402267,2.81535,Fosse 7 Billets. Training,,,,36c.T.1.b.1.4
13-Aug-17,Hersin,50.450333,2.649167,,,,,36b.Q.5.b.6.7
