Date,MBS Prefix,Map Ref,Latitude,Longitude,,Location,Country,Comments
22-02-1945,qD,921527,51.7626200,6.1742100,#REF!,Bedburg-Hau,Germany, 
24-02-1945,qD,888550,51.7826600,6.1257100,-0.0485000,Kleve,Germany, 
26-02-1945,qD,979478,51.7196400,6.2596000,0.1338900,KalKar,Germany, 
27-02-1945,qD,998447,51.6921200,6.2879500,0.0283500,Keppeln,Germany, 
01-03-1945,qD,13428,51.6753000,6.3101600,0.0222100,Udem,Germany, 
05-03-1945,qD,48392,51.6435400,6.3617100,0.0515500,Hoch Forest,Germany,Several soldiers captured including George. Total causualties 300 75% of the Battalion fighting strength. 
06-03-1945,qD,563393,51.6445700,6.3732400,0.0115300,Sonsbeck,Netherlands, 
13-03-1945,qD,307377,51.6131800,5.2923600,-1.0808800,Esch,Netherlands, 
30-03-1945,qD,885548,51.7808100,6.1214300,0.8290700,Kleve,Germany, 
31-03-1945,qD,53561,51.7954800,6.3644800,0.2430500,Millingen,Germany, 
03-04-1945,qD,102963,52.1574300,6.4253500,0.0608700,Lochem,Netherlands, 
01-04-1945,qD,170943,52.1404900,6.5251400,0.0997900,Geesteren,Netherlands,No Opposition
05-04-1945,qD,267157,52.33403,6.66231,0.1371700,Amelo,Netherlands, 
06-04-1945,qD,404380,52.5359,6.85939,0.1970800,Wilsum,Germany,Commence assault on Meppen
07-04-1945,qD,657549,52.68974,7.23033,0.3709400,Klien Fullen,Germany,Defeated counterattack
21-04-1945,qD,128995,53.091,7.92804,#REF!,Kusten Canal,Germany,Reinforcements Received. All 4 companies at 90 men.
25-04-1945,qD,144041,53.13224,7.95209,0.0240500,Osterscheps,Germany,Town Surrenders
30-04-1945,qD,161071,53.1591200,7.9776,0.0255100,Bad Zwischenahn,Germany,Light Contact
02-05-1945,qD,173117,53.20036,7.99575,0.0181500,Rostrup,Germany,GERMANY SURRENDERS
04-05-1945,qD,253181,53.25748,8.11578,0.1200300,Wiefelstede,Netherlands,Camp in Friendly Terroritory
12-05-1945,qD,126197,52.36797,6.45459,-1.6611900,Nijverdal,Germany,Berlin Brigade raise Union Jack over Berlin
19-Jun,,,52.2432106,10.3765719,,Braunschweig,Germany,14 Officers and 235 OR to Berlin Brigade
04-07-1945,rZ,770454,52.4807,13.28811,6.8335200,Berlin,Germany,Berlin Brigade raise Union Jack over Berlin Victory Parade - Churchill Montgomery
28-07-1945,rV,126197,52.36797,6.45459,-6.8335200,Nijverdal,Netherlands,"Sports, Education"
24-09-1945,rx,243064,52.22826,5.16617,-1.2884200,Hilversum,Netherlands,Parade honouring losses in Bergern Op Zoom
27-10-1945,qD,604276,51.4977300,4.2850500,-0.8811200,Bergen Op Zoom,Netherlands,"Sports, Education"
28-10-1945,rx,243064,52.22826,5.16617,0.8811200,Hilversum,", which ",
